h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,total,name,start_time
2,2,3,3,3,3,3,3,4,4,3,3,5,6,4,4,2,3,60,Queenstown Gardens,1417644912654
3,3,3,3,2,3,4,2,3,4,2,3,4,5,3,4,2,3,56,Queenstown Gardens,1417833121801
3,3,3,5,3,2,3,3,3,4,3,4,4,5,3,4,2,2,59,Queenstown Gardens,1417920712532
3,2,3,4,3,3,3,2,3,4,2,4,4,4,3,3,2,3,55,Queenstown Gardens,1418619859083
2,3,2,4,3,4,4,3,4,3,2,4,3,4,3,4,4,3,59,Queenstown Gardens,1419229661768
3,4,2,3,4,4,3,2,4,2,2,4,4,6,3,3,2,3,58,Queenstown Gardens,1420248895787
2,3,2,4,3,2,4,2,4,2,5,3,4,4,3,4,2,3,56,Queenstown Gardens,1420520115742
3,2,4,3,2,4,3,2,3,4,3,5,4,5,3,5,3,3,61,Queenstown Gardens,1421905510122
3,2,3,3,2,3,3,3,2,3,3,2,5,7,3,4,3,3,57,Queenstown Gardens,1422507680947
2,3,4,3,3,3,2,4,4,3,3,3,4,5,3,4,2,2,57,Queenstown Gardens,1422679135255
3,2,2,4,2,3,4,3,3,2,3,3,5,4,3,4,4,3,57,Queenstown Gardens,1423544300871
3,3,3,4,2,3,3,3,3,3,3,4,3,5,2,4,2,4,57,Queenstown Gardens,1423633685349
3,3,3,4,5,3,4,5,3,2,3,3,3,4,4,4,4,3,63,Queenstown Gardens,1423883298703
2,2,4,3,2,4,3,2,3,3,3,3,4,4,3,6,3,4,58,Queenstown Gardens,1424061100347
3,3,4,4,3,4,4,4,3,3,3,3,4,5,3,5,2,2,62,Queenstown Gardens,1424236350274
3,2,4,4,2,4,3,3,4,3,2,3,4,5,3,4,3,3,59,Queenstown Gardens,1425530138031
3,3,3,3,4,3,5,4,4,4,2,3,3,4,2,4,2,3,59,Queenstown Gardens,1425678614523
4,3,3,5,2,4,4,2,3,3,2,3,4,6,3,4,3,3,61,Queenstown Gardens,1425691990520
3,3,3,5,3,3,3,3,5,3,3,3,4,6,3,5,2,3,63,Queenstown Gardens,1426739839919
3,2,4,3,2,3,4,3,4,2,2,4,4,5,2,5,2,3,57,Queenstown Gardens,1427084282938
3,2,2,4,2,3,3,2,4,2,2,5,4,4,3,4,2,3,54,Queenstown Gardens,1427590270124
3,3,3,3,3,3,3,4,3,3,2,3,4,5,4,4,3,3,59,Queenstown Gardens,1427689073301
3,2,3,3,3,3,3,3,3,3,2,3,3,4,3,3,2,3,52,Queenstown Gardens,1427691716574
3,3,4,3,4,3,3,3,4,3,2,3,4,4,2,3,2,2,55,Queenstown Gardens,1427861824936
3,3,3,4,4,2,4,3,2,3,3,5,4,7,3,4,2,3,62,Queenstown Gardens,1428727459598
3,3,3,4,3,4,3,3,3,3,3,4,5,4,3,6,2,3,62,Queenstown Gardens,1429415911823
2,2,2,3,4,3,3,2,4,3,3,2,4,4,4,4,2,3,54,Queenstown Gardens,1430101388870
3,3,3,4,3,3,3,3,3,3,3,4,4,3,4,3,6,3,61,Queenstown Gardens,1430107657647
3,3,2,3,4,4,4,3,4,4,2,4,4,5,2,4,2,4,61,Queenstown Gardens,1430176438347
4,2,3,3,4,4,6,3,4,3,3,5,3,5,3,5,3,3,66,Queenstown Gardens,1430533924625
2,3,2,4,3,4,2,3,3,3,3,3,4,4,2,5,2,3,55,Queenstown Gardens,1432347379731
2,3,3,3,2,2,3,3,6,3,2,3,4,3,2,4,2,3,53,Queenstown Gardens,1432351439144
2,3,3,4,3,3,4,3,4,3,2,4,4,5,3,4,2,4,60,Queenstown Gardens,1436576258954
3,3,2,4,3,3,3,3,3,4,3,3,3,5,3,4,2,3,57,Queenstown Gardens,1443501518562
3,4,3,5,3,3,3,2,4,3,3,4,3,5,3,3,2,3,59,Queenstown Gardens,1444019775407
2,2,3,4,2,3,3,3,4,4,2,4,5,4,3,4,3,2,57,Queenstown Gardens,1444279940225
3,3,3,4,3,4,4,3,4,3,2,3,4,5,3,5,3,2,61,Queenstown Gardens,1444447123746
3,3,2,3,3,4,3,3,4,3,3,3,5,5,3,5,2,2,59,Queenstown Gardens,1444711692740
4,3,3,3,7,4,3,3,4,4,3,4,5,5,3,4,3,3,68,Queenstown Gardens,1444798693450
3,2,2,6,3,4,3,3,3,3,3,4,4,4,2,4,3,3,59,Queenstown Gardens,1444885458198
4,3,2,3,3,3,2,3,5,3,2,2,5,4,3,5,2,3,57,Queenstown Gardens,1445049126438
3,3,3,4,3,3,3,5,4,3,4,3,5,5,2,4,2,3,62,Queenstown Gardens,1445316948494
2,3,3,3,3,3,3,4,4,3,4,3,3,5,4,3,2,3,58,Queenstown Gardens,1445489673206
2,3,2,4,3,3,4,3,3,4,2,3,5,6,3,6,3,2,61,Queenstown Gardens,1445738998169
3,2,2,3,2,3,3,2,3,3,2,2,4,6,2,4,2,3,51,Queenstown Gardens,1446009126523
3,2,2,3,3,2,4,2,4,4,3,3,4,5,3,4,2,3,56,Queenstown Gardens,1446340444175
2,3,2,4,2,3,5,3,3,4,2,4,5,5,4,4,3,3,61,Queenstown Gardens,1446699804951
3,3,2,4,2,3,3,3,5,3,3,4,3,5,4,5,4,3,62,Queenstown Gardens,1447132128821
2,3,2,4,3,3,4,2,4,4,2,3,3,5,3,4,3,2,56,Queenstown Gardens,1448077353980
3,3,3,3,4,3,3,2,5,3,3,3,4,5,2,4,2,3,58,Queenstown Gardens,1448514564773
